Designator,Mid X,Mid Y,Rotation,Layer
R30,94.2,-80.547696,90.0,top
R31,97.4,-80.547696,90.0,top
R32,98.7,-97.335196,0.0,top
R33,120.6,-107.3365,270.0,top
R34,119.0,-107.3365,90.0,top
R35,122.2,-107.3365,90.0,top
R36,123.5,-124.124,0.0,top
R37,120.7,-80.572696,270.0,top
R38,119.1,-80.572696,90.0,top
R39,122.3,-80.572696,90.0,top
R4,86.625,-74.5,180.0,top
R40,123.6,-97.360196,0.0,top
R41,148.7,-107.4365,270.0,top
R42,147.1,-107.4365,90.0,top
R43,150.3,-107.4365,90.0,top
R44,151.6,-124.224,0.0,top
R45,148.6,-80.572696,270.0,top
R46,147.0,-80.572696,90.0,top
R47,150.2,-80.572696,90.0,top
R48,151.5,-97.360196,0.0,top
R5,162.55,-36.35,270.0,top
R6,164.15,-36.35,90.0,top
R7,159.8875,-30.55,180.0,top
R8,159.8875,-32.15,0.0,top
R9,80.5,-42.0,270.0,top
TH1,93.5,-148.6,0.0,top
U1,159.85,-35.55,270.0,top
U2,146.8,-43.5,180.0,top
